
# Surface 0 of 1 surfaces

# Curve title: "'jone_physicsxe_gnu_radn.gnu' using ($3):($4):($5 <= 1 ? 1/0 :$5)"

# Contour 0, label:  2.2e+05
 2.895  0.838394  180000 
 2.88  0.830581  180000 
 2.865  0.822235  180000 
 2.85  0.813488  180000 
 2.83509  0.804513  180000 
 2.8207  0.795636  180000 
 2.80736  0.787221  180000 
 2.7956  0.779633  180000 
 2.78594  0.773237  180000 
 2.77866  0.76818  180000 
 2.77302  0.76374  180000 
 2.76806  0.75898  180000 
 2.7628  0.75296  180000 
 2.75626  0.744741  180000 

 3.23364 -0.256713  180000 
 3.23919 -0.251556  180000 
 3.24584 -0.2447  180000 
 3.25426 -0.235662  180000 
 3.26415 -0.224808  180000 
 3.27502 -0.212719  180000 
 3.28634 -0.199977  180000 
 3.29761 -0.187163  180000 
 3.30837 -0.174761  180000 
 3.31851 -0.16287  180000 
 3.32796 -0.151489  180000 
 3.33667 -0.140621  180000 
 3.34458 -0.130265  180000 
 3.3517 -0.120354  180000 
 3.35823 -0.110547  180000 
 3.36441 -0.100433  180000 
 3.37051 -0.0896027  180000 
 3.37679 -0.0776463  180000 
 3.38344 -0.0642452  180000 
 3.39042 -0.0494479  180000 
 3.39767 -0.0333945  180000 
 3.40508 -0.0162249  180000 
 3.41257  0.00192061  180000 
 3.42002  0.0207907  180000 
 3.42721  0.0396878  180000 
 3.43389  0.0578033  180000 
 3.43981  0.0743282  180000 
 3.4447  0.0884537  180000 
 3.44842  0.0997507  180000 
 3.45118  0.109308  180000 
 3.45331  0.118595  180000 
 3.45512  0.129079  180000 
 3.45693  0.142231  180000 
 3.45897  0.159135  180000 
 3.46111  0.179347  180000 
 3.46313  0.20204  180000 
 3.4648  0.226388  180000 
 3.46592  0.251562  180000 
 3.46631  0.276805  180000 
 3.46601  0.301626  180000 
 3.46513  0.325604  180000 
 3.46376  0.348317  180000 
 3.46201  0.369346  180000 
 3.45995  0.388379  180000 
 3.45765  0.405557  180000 
 3.45514  0.421132  180000 
 3.45247  0.435354  180000 
 3.44968  0.448477  180000 
 3.44675  0.460835  180000 
 3.44344  0.473107  180000 
 3.43944  0.486051  180000 
 3.43445  0.500429  180000 
 3.42817  0.517002  180000 
 3.42045  0.536147  180000 
 3.41186  0.556705  180000 
 3.40312  0.577137  180000 
 3.39495  0.595899  180000 
 3.38807  0.611451  180000 
 3.38294  0.62279  180000 
 3.37886  0.631071  180000 
 3.37487  0.637986  180000 
 3.36999  0.645228  180000 
 3.36327  0.65449  180000 
 3.35407  0.66695  180000 
 3.34305  0.681721  180000 
 3.33121  0.697401  180000 
 3.31955  0.712589  180000 
 3.30907  0.725883  180000 
 3.30049  0.736246  180000 
 3.29337  0.744102  180000 
 3.28702  0.750239  180000 
 3.28073  0.755448  180000 
 3.27379  0.760516  180000 
 3.26563  0.766096  180000 
 3.25622  0.772287  180000 
 3.24567  0.779052  180000 
 3.23409  0.786353  180000 
 3.22157  0.794154  180000 
 3.20825  0.802385  180000 
 3.19426  0.810847  180000 
 3.17978  0.819311  180000 
 3.16497  0.827548  180000 
